project,repo_name,prs_in_window,first_month,last_month,ok_not_gone,ok_not_archived,ok_volume,ok_existed,ok_runs_late,activity_rank,selected
pantsbuild,console,0,,,t,f,f,t,,58,f
pantsbuild,rust-cpython,0,,,t,f,f,t,,59,f
pantsbuild,cargo-ensure-prefix,0,,,t,f,f,t,,60,f
pantsbuild,requirements-perf,0,,,t,t,f,t,,61,f
pantsbuild,logo,0,,,t,t,f,t,,62,f
pantsbuild,ripgrep,0,,,t,t,f,t,,63,f
pantsbuild,blog.pantsbuild.org,0,,,t,t,f,f,,64,f
pantsbuild,tree-sitter-dockerfile,0,,,t,t,f,f,,65,f
pytorch,pytorch,60365,2023-08-01,2026-07-01,t,t,t,t,t,1,t
pytorch,executorch,18968,2023-08-01,2026-07-01,t,t,t,t,t,2,t
pytorch,FBGEMM,4072,2023-08-01,2026-07-01,t,t,t,t,t,3,t
pytorch,ao,3795,2023-11-01,2026-07-01,t,t,t,f,t,4,f
pytorch,test-infra,3456,2023-08-01,2026-07-01,t,t,t,t,t,5,f
pytorch,torchtitan,3255,2024-01-01,2026-07-01,t,t,t,f,t,6,f
pytorch,xla,2984,2023-08-01,2026-05-01,t,t,t,t,f,7,f
pytorch,helion,2930,2025-04-01,2026-07-01,t,t,t,f,t,8,f
pytorch,rl,2085,2023-08-01,2026-07-01,t,t,t,t,t,9,f
pytorch,TensorRT,1424,2023-08-01,2026-07-01,t,t,t,t,t,10,f
pytorch,torchchat,1180,2024-03-01,2025-09-01,t,f,t,t,f,11,f
pytorch,vision,1082,2023-08-01,2026-07-01,t,t,t,t,t,12,f
pytorch,tensordict,1079,2023-08-01,2026-07-01,t,t,t,t,t,13,f
pytorch,tutorials,1072,2023-08-01,2026-07-01,t,t,t,t,t,14,f
pytorch,ci-infra,781,2023-08-01,2026-07-01,t,t,t,t,t,15,f
pytorch,pytorch.github.io,615,2023-08-01,2026-07-01,t,t,t,t,t,16,f
pytorch,kineto,612,2023-08-01,2026-07-01,t,t,t,t,t,17,f
pytorch,serve,602,2023-08-01,2025-08-01,t,f,t,t,f,18,f
pytorch,ignite,580,2023-08-01,2026-07-01,t,t,t,t,t,19,f
pytorch,benchmark,574,2023-08-01,2026-07-01,t,t,t,t,t,20,f
pytorch,builder,552,2023-08-01,2025-08-01,t,f,t,t,f,21,f
pytorch,audio,503,2023-08-01,2026-07-01,t,t,t,t,t,22,f
pytorch,PiPPy,213,2023-08-01,2024-09-01,t,f,t,t,f,23,f
