project,repo_name,repo_archived,repo_gone,prs_in_window,months_with_prs,first_month,last_month
pytorch,pytorch.github.io,f,f,615,35,2023-08-01,2026-07-01
pytorch,kineto,f,f,612,36,2023-08-01,2026-07-01
pytorch,serve,t,f,602,25,2023-08-01,2025-08-01
pytorch,ignite,f,f,580,36,2023-08-01,2026-07-01
pytorch,benchmark,f,f,574,35,2023-08-01,2026-07-01
pytorch,builder,t,f,552,22,2023-08-01,2025-08-01
pytorch,audio,f,f,503,35,2023-08-01,2026-07-01
pytorch,PiPPy,t,f,213,14,2023-08-01,2024-09-01
pytorch,cpuinfo,f,f,196,35,2023-08-01,2026-07-01
pytorch,examples,f,f,171,32,2023-08-01,2026-05-01
pytorch,pytorch-integration-testing,f,f,158,20,2024-07-01,2026-07-01
pytorch,gloo,f,f,125,31,2023-08-01,2026-07-01
pytorch,docs,f,f,91,22,2024-04-01,2026-07-01
pytorch,glow,t,f,68,10,2023-08-01,2024-05-01
pytorch,pytorch_sphinx_theme,f,f,64,21,2023-08-01,2026-05-01
pytorch,text,t,f,49,17,2023-08-01,2025-09-01
pytorch,rfcs,f,f,45,23,2023-08-01,2026-07-01
pytorch,extension-cpp,f,f,28,12,2024-04-01,2026-05-01
pytorch,ort,f,f,26,11,2023-08-01,2026-02-01
pytorch,devlogs,f,f,26,3,2026-05-01,2026-07-01
pytorch,expecttest,f,f,20,7,2023-12-01,2025-06-01
pytorch,alerting-infra,f,f,17,7,2025-09-01,2026-06-01
pytorch,crcr-test,f,f,13,3,2026-05-01,2026-07-01
pytorch,hub,f,f,10,6,2023-09-01,2025-08-01
pytorch,tensorpipe,f,f,6,4,2025-08-01,2025-12-01
pytorch,torchdistx,t,f,3,3,2023-11-01,2024-03-01
pytorch,torchdynamo,t,f,3,3,2023-08-01,2024-04-01
pytorch,annex,f,f,3,2,2026-04-01,2026-07-01
pytorch,torcharrow,t,f,3,2,2024-01-01,2024-03-01
pytorch,functorch,t,f,2,1,2025-04-01,2025-04-01
pytorch,ios-demo-app,t,f,1,1,2024-08-01,2024-08-01
pytorch,QNNPACK,t,f,0,0,,
pytorch,cppdocs,f,f,0,0,,
pytorch,sccache,t,f,0,0,,
pytorch,contrib,t,f,0,0,,
pytorch,ci-hud,t,f,0,0,,
pytorch,caffe2.github.io,t,f,0,0,,
pytorch,android-demo-app,t,f,0,0,,
pytorch,torchhub_testing,t,f,0,0,,
pytorch,add-annotations-github-action,t,f,0,0,,
pytorch,java-demo,t,f,0,0,,
pytorch,extension-script,t,f,0,0,,
pytorch,labeler-github-action,t,f,0,0,,
pytorch,maskedtensor,t,f,0,0,,
pytorch,nestedtensor,t,f,0,0,,
pytorch,accimage,t,f,0,0,,
pytorch,ossci-job-dsl,t,f,0,0,,
pytorch,extension-ffi,t,f,0,0,,
pytorch,probot,t,f,0,0,,
pytorch,pytorch-ci-dockerfiles,t,f,0,0,,
pytorch,translate,t,f,0,0,,
pytorch,tvm,t,f,0,0,,
pytorch,elastic,t,f,0,0,,
pytorch,ELF,t,f,0,0,,
pytorch,dr-ci,t,f,0,0,,
