project,repo_name,repo_archived,repo_gone,month,outcome,author_association,author_pseud,size_lines,files_touched,review_count,hours_to_first_review,hours_to_merge
moby,buildkit,f,f,2023-09-01,merged,CONTRIBUTOR,a79205e9e,17,3,3,3,136
moby,buildkit,f,f,2023-09-01,merged,MEMBER,af5c6dc4c,14,2,1,3,3
moby,buildkit,f,f,2023-09-01,merged,COLLABORATOR,a45bdb06c,191,3,4,20,1690
moby,buildkit,f,f,2023-09-01,merged,MEMBER,ad28e9a8f,88,4,2,1,12
moby,buildkit,f,f,2023-09-01,merged,MEMBER,a665e4470,319,11,9,0,6
moby,buildkit,f,f,2023-09-01,closed,COLLABORATOR,a169a456a,204,11,0,,
moby,buildkit,f,f,2023-09-01,merged,COLLABORATOR,a169a456a,17,7,1,7,7
moby,buildkit,f,f,2023-09-01,merged,MEMBER,a665e4470,3,1,1,0,0
moby,buildkit,f,f,2023-09-01,merged,COLLABORATOR,a45bdb06c,94,2,1,74,74
moby,buildkit,f,f,2023-09-01,closed,COLLABORATOR,a311b5f88,2854,38,0,,
moby,buildkit,f,f,2023-09-01,merged,CONTRIBUTOR,adbbea4f9,2,1,1,20,159
moby,buildkit,f,f,2023-09-01,merged,COLLABORATOR,a45bdb06c,134,5,12,23,199
moby,buildkit,f,f,2023-09-01,closed,MEMBER,afd612ab4,6,1,1,33,
moby,buildkit,f,f,2023-09-01,closed,MEMBER,afd612ab4,123,5,4,0,
moby,buildkit,f,f,2023-09-01,merged,MEMBER,ad28e9a8f,1,1,1,0,1
moby,buildkit,f,f,2023-09-01,merged,MEMBER,ad28e9a8f,58,7,1,0,1
moby,buildkit,f,f,2023-09-01,merged,MEMBER,afd612ab4,31,3,7,2,30
moby,buildkit,f,f,2023-09-01,merged,MEMBER,afd612ab4,2,1,1,3,3
moby,buildkit,f,f,2023-09-01,merged,COLLABORATOR,aedc17adf,2,1,1,6,6
moby,buildkit,f,f,2023-09-01,merged,COLLABORATOR,a45bdb06c,19,1,1,5,26
moby,buildkit,f,f,2023-09-01,merged,CONTRIBUTOR,ad7d06b04,1,1,1,8,8
moby,buildkit,f,f,2023-09-01,closed,NONE,a4a090602,8,1,0,,
moby,buildkit,f,f,2023-09-01,merged,MEMBER,a618fbad9,16,1,1,0,10
moby,buildkit,f,f,2023-09-01,closed,CONTRIBUTOR,a619ab9b4,45,7,1,14,
moby,buildkit,f,f,2023-09-01,merged,MEMBER,a665e4470,15,1,2,0,11
moby,buildkit,f,f,2023-09-01,merged,CONTRIBUTOR,a05833f91,5,1,1,0,2
moby,buildkit,f,f,2023-09-01,merged,CONTRIBUTOR,ad7cbca29,312,8,13,142,211
moby,buildkit,f,f,2023-09-01,merged,MEMBER,af5c6dc4c,187,4,5,129,464
moby,buildkit,f,f,2023-09-01,closed,MEMBER,a618fbad9,71,3,2,0,
moby,buildkit,f,f,2023-09-01,merged,CONTRIBUTOR,aa9e44c53,2,1,5,6,20
moby,buildkit,f,f,2023-09-01,merged,CONTRIBUTOR,aa9e44c53,2,1,1,7,7
moby,buildkit,f,f,2023-09-01,merged,MEMBER,a665e4470,32,2,4,4,45
moby,buildkit,f,f,2023-09-01,merged,MEMBER,ad28e9a8f,34,6,2,0,16
moby,buildkit,f,f,2023-09-01,merged,MEMBER,ad28e9a8f,12,3,1,4,20
moby,buildkit,f,f,2023-09-01,merged,MEMBER,a665e4470,27,3,3,107,221
moby,buildkit,f,f,2023-09-01,merged,CONTRIBUTOR,aa9e44c53,4,2,1,166,259
moby,buildkit,f,f,2023-09-01,merged,MEMBER,ad28e9a8f,3,1,1,2,2
moby,buildkit,f,f,2023-09-01,merged,MEMBER,a665e4470,384,10,20,0,806
moby,buildkit,f,f,2023-09-01,merged,MEMBER,a665e4470,2,1,1,0,0
moby,buildkit,f,f,2023-09-01,closed,CONTRIBUTOR,a07d27a41,3028,132,0,,
moby,buildkit,f,f,2023-09-01,closed,NONE,a884c3544,75,2,0,,
moby,buildkit,f,f,2023-09-01,merged,COLLABORATOR,a9a258f36,7,1,1,2,5
moby,buildkit,f,f,2023-10-01,merged,CONTRIBUTOR,ad7d06b04,1,1,1,23,23
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a9a258f36,7,1,1,7,13
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a9a258f36,71,1,1,206,206
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a9a258f36,71,1,1,391,391
moby,buildkit,f,f,2023-10-01,closed,COLLABORATOR,a169a456a,1401,44,0,,
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a169a456a,37,11,8,74,177
moby,buildkit,f,f,2023-10-01,merged,MEMBER,a665e4470,487,17,1,50,245
moby,buildkit,f,f,2023-10-01,merged,CONTRIBUTOR,aaf500237,20,4,6,3,211
moby,buildkit,f,f,2023-10-01,merged,CONTRIBUTOR,abb47523d,2,1,1,10,10
moby,buildkit,f,f,2023-10-01,merged,MEMBER,a618fbad9,208,2,11,99,190
moby,buildkit,f,f,2023-10-01,merged,MEMBER,af5c6dc4c,33,3,5,86,838
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a29405abf,101,1,2,10,25
moby,buildkit,f,f,2023-10-01,merged,MEMBER,afdafcebc,21372,127,16,4,139
moby,buildkit,f,f,2023-10-01,merged,CONTRIBUTOR,a0f44e7a5,18884,182,2,1,1192
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a169a456a,2,1,1,2,2
moby,buildkit,f,f,2023-10-01,merged,MEMBER,a665e4470,10,1,1,0,1
moby,buildkit,f,f,2023-10-01,closed,CONTRIBUTOR,a619ab9b4,4088,122,0,,
moby,buildkit,f,f,2023-10-01,merged,MEMBER,a665e4470,431,10,4,6,109
moby,buildkit,f,f,2023-10-01,closed,COLLABORATOR,aca8e9c30,278,17,0,,
moby,buildkit,f,f,2023-10-01,closed,MEMBER,ad28e9a8f,128,3,0,,
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,af1f4312a,6,1,3,3,8
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,aca8e9c30,179,15,5,1,80
moby,buildkit,f,f,2023-10-01,merged,MEMBER,a1fe9e3d3,2,1,13,9,57
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,aca8e9c30,71,2,5,1,78
moby,buildkit,f,f,2023-10-01,merged,MEMBER,ad28e9a8f,10,4,1,16,16
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a169a456a,2,1,1,2,2
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a45bdb06c,4,1,1,1,1
moby,buildkit,f,f,2023-10-01,merged,MEMBER,ad28e9a8f,10,4,1,3,3
moby,buildkit,f,f,2023-10-01,merged,MEMBER,af5c6dc4c,23635,100,11,9,1987
moby,buildkit,f,f,2023-10-01,merged,CONTRIBUTOR,ab0742db9,1,1,1,15,20
moby,buildkit,f,f,2023-10-01,closed,MEMBER,ad28e9a8f,31563,281,0,,
moby,buildkit,f,f,2023-10-01,merged,MEMBER,ad28e9a8f,72,2,4,9,471
moby,buildkit,f,f,2023-10-01,closed,MEMBER,ad28e9a8f,8696,107,0,,
moby,buildkit,f,f,2023-10-01,merged,MEMBER,af5c6dc4c,6,1,1,1,5
moby,buildkit,f,f,2023-10-01,merged,MEMBER,af5c6dc4c,11,1,2,9,72
moby,buildkit,f,f,2023-10-01,merged,MEMBER,ad28e9a8f,2,1,1,0,4
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,aca8e9c30,1915,6,3,3,16
moby,buildkit,f,f,2023-10-01,closed,CONTRIBUTOR,a91c4d9a0,33,3,1,17,
moby,buildkit,f,f,2023-10-01,merged,MEMBER,afdafcebc,1445,38,1,8,8
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a45bdb06c,44,1,2,8,54
moby,buildkit,f,f,2023-10-01,merged,CONTRIBUTOR,a2e93cfa4,2,1,2,0,5
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a169a456a,4,1,1,5,5
moby,buildkit,f,f,2023-10-01,merged,MEMBER,afdafcebc,1445,38,1,537,537
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,aedc17adf,15,1,2,1,9
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a169a456a,13,2,1,8,8
moby,buildkit,f,f,2023-10-01,merged,MEMBER,ad28e9a8f,15,1,1,37,37
moby,buildkit,f,f,2023-10-01,closed,CONTRIBUTOR,a619ab9b4,3446,50,0,,
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a45bdb06c,319,5,1,435,456
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a45bdb06c,1,1,4,14,273
moby,buildkit,f,f,2023-10-01,merged,MEMBER,afdafcebc,3120,115,2,448,451
moby,buildkit,f,f,2023-10-01,merged,MEMBER,afdafcebc,1019,9,2,2,105
moby,buildkit,f,f,2023-10-01,closed,MEMBER,ad28e9a8f,5702,94,0,,
moby,buildkit,f,f,2023-10-01,closed,MEMBER,ad28e9a8f,8810,118,2,13,
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,aca8e9c30,137,14,17,0,180
moby,buildkit,f,f,2023-10-01,merged,CONTRIBUTOR,ac6ff1a36,8,3,1,29,29
moby,buildkit,f,f,2023-10-01,merged,CONTRIBUTOR,a140c2212,6,1,2,29,87
moby,buildkit,f,f,2023-10-01,closed,CONTRIBUTOR,a619ab9b4,4296,139,0,,
moby,buildkit,f,f,2023-10-01,merged,MEMBER,af5c6dc4c,10,1,2,2,35
moby,buildkit,f,f,2023-10-01,merged,CONTRIBUTOR,a3debe046,54,7,26,17,2934
moby,buildkit,f,f,2023-10-01,merged,MEMBER,afdafcebc,2,1,2,1,3
moby,buildkit,f,f,2023-10-01,merged,MEMBER,afdafcebc,4088,122,2,0,2
moby,buildkit,f,f,2023-10-01,merged,MEMBER,afdafcebc,3446,50,3,239,247
moby,buildkit,f,f,2023-10-01,merged,COLLABORATOR,a29405abf,2,1,1,4,5
moby,buildkit,f,f,2023-10-01,merged,MEMBER,ad28e9a8f,7,3,1,0,2
moby,buildkit,f,f,2023-10-01,merged,MEMBER,ad28e9a8f,7,3,1,30,30
moby,buildkit,f,f,2023-10-01,merged,MEMBER,af5c6dc4c,60,3,1,130,130
moby,buildkit,f,f,2023-10-01,merged,MEMBER,af5c6dc4c,18,2,6,12,492
moby,buildkit,f,f,2023-11-01,merged,MEMBER,ad28e9a8f,2,1,1,0,3
moby,buildkit,f,f,2023-11-01,merged,COLLABORATOR,a45bdb06c,106,3,1,2,2
moby,buildkit,f,f,2023-11-01,closed,NONE,ac28d6ddd,21229,627,0,,
moby,buildkit,f,f,2023-11-01,closed,MEMBER,afd612ab4,8,2,1,1,
moby,buildkit,f,f,2023-11-01,merged,MEMBER,ad28e9a8f,79,5,0,,3
moby,buildkit,f,f,2023-11-01,merged,MEMBER,af5c6dc4c,268,1,11,0,124
moby,buildkit,f,f,2023-11-01,closed,CONTRIBUTOR,aac2d5852,148,5,0,,
moby,buildkit,f,f,2023-11-01,merged,NONE,ac88368b3,2,1,3,0,6
moby,buildkit,f,f,2023-11-01,merged,COLLABORATOR,a29405abf,25,1,1,0,0
moby,buildkit,f,f,2023-11-01,closed,NONE,a72b79b9e,39,1,5,3,
moby,buildkit,f,f,2023-11-01,merged,MEMBER,afdafcebc,8808,117,1,2,2
moby,buildkit,f,f,2023-11-01,merged,CONTRIBUTOR,ae82ee39e,2,1,1,6,7
moby,buildkit,f,f,2023-11-01,merged,MEMBER,a665e4470,3,1,2,0,1
moby,buildkit,f,f,2023-11-01,merged,MEMBER,a665e4470,2,1,2,1,7
moby,buildkit,f,f,2023-11-01,merged,MEMBER,a665e4470,20,7,1,6,202
moby,buildkit,f,f,2023-11-01,merged,CONTRIBUTOR,a5680e65e,2,1,1,15,15
moby,buildkit,f,f,2023-11-01,merged,MEMBER,ad28e9a8f,30,1,2,2471,2577
moby,buildkit,f,f,2023-11-01,merged,MEMBER,af5c6dc4c,54,2,3,198,326
moby,buildkit,f,f,2023-11-01,merged,MEMBER,ad28e9a8f,39,4,4,1,122
moby,buildkit,f,f,2023-11-01,merged,MEMBER,ad28e9a8f,1,1,1,103,103
moby,buildkit,f,f,2023-11-01,merged,MEMBER,af5c6dc4c,69,1,1,140,143
moby,buildkit,f,f,2023-11-01,closed,NONE,ad9b0591f,5,1,0,,
moby,buildkit,f,f,2023-11-01,closed,CONTRIBUTOR,a0d0ae9a6,6,1,0,,
moby,buildkit,f,f,2023-11-01,merged,CONTRIBUTOR,a0d0ae9a6,6,1,2,3,10
moby,buildkit,f,f,2023-11-01,merged,CONTRIBUTOR,a322fe7d6,29,5,6,16,44
moby,buildkit,f,f,2023-11-01,merged,COLLABORATOR,a29405abf,779,1,5,145,283
moby,buildkit,f,f,2023-11-01,closed,MEMBER,a9208ed66,61448,149,8,297,
moby,buildkit,f,f,2023-11-01,closed,CONTRIBUTOR,a0f44e7a5,56044,529,0,,
moby,buildkit,f,f,2023-11-01,merged,CONTRIBUTOR,a6cca0d87,6,1,2,4,80
moby,buildkit,f,f,2023-11-01,merged,NONE,ab3a02eae,102,3,8,3,1276
moby,buildkit,f,f,2023-11-01,merged,CONTRIBUTOR,a9eb39ae8,13,1,2,8,17
moby,buildkit,f,f,2023-11-01,closed,CONTRIBUTOR,aa0450d8f,2519,8,6,9,
moby,buildkit,f,f,2023-11-01,merged,COLLABORATOR,a169a456a,2,1,1,127,130
moby,buildkit,f,f,2023-11-01,merged,CONTRIBUTOR,a5f894ba5,33,9,3,16,130
moby,buildkit,f,f,2023-11-01,merged,COLLABORATOR,a680facbc,409,18,22,0,370
moby,buildkit,f,f,2023-12-01,merged,MEMBER,a665e4470,82,2,9,4,147
moby,buildkit,f,f,2023-12-01,merged,COLLABORATOR,a2ad2592d,493,6,2,2926,2929
moby,buildkit,f,f,2023-12-01,merged,MEMBER,af5c6dc4c,500,59,12,11,186
